contamination	not_contaminated	contaminated	contaminated	contaminated	contaminated	not_contaminated	contaminated	contaminated	not_contaminated	contaminated	contaminated	contaminated	not_contaminated	not_contaminated	not_contaminated	not_contaminated
Mastophorus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020325409	0	0
Mortierella	0.000754251	0.000386034	0	0.000383869	0	0	0.018271046	0.0062163	0	0	0.001333069	0.000874867	0.039289393	0.017639009	0.074581577	2.8767E-05
Mucoromycota	0	0	0.000537851	0.001130858	0.000847027	0.005553174	0.02552985	0.028540028	0	0	0.002183963	0	0	0	0	0
Nitzschia	0	0	0	0	0	0	0	0	0	0	2.83632E-05	0	5.22813E-05	0	0	0.166302284
Ophiosphaerella	0	0	0	0.001815598	0	0	0.000571644	3.43442E-05	0	0.000623016	0.001276342	0.002412513	0.00030846	0.000760302	0.000698374	0.001956159
Oxytrichidae	0.001097093	0.01418318	0.003277531	0.001068609	0	0	0.04801812	0.008208263	0.001542672	0	0.022293445	0.000106045	1.56844E-05	0.001419231	0.000602047	0.001697256
Penaeus	0	0	0	0	3.38811E-05	0	1.07857E-05	0	0	2.39621E-05	0	0	0	0	0	0
Penicillium	0.000171421	0.000386034	0	0.003465198	0.001727935	0.014633101	0.007312733	0.011333585	9.95272E-05	0.009524951	0.000368721	0.029931071	0.004030888	0.010897663	0.005659241	0
Pleosporales	0.024993143	0.011938463	0.005210434	0.00762551	0.00786041	7.79393E-05	0.021355768	0.015351856	7.46454E-05	0.06965794	0.007998412	0.100874867	0.040486634	0.168128136	0.102805539	0.007853403
Poaceae	0.000445694	0.001043722	0	0.002209842	0	0.020244729	0.001510004	0.005392039	2.48818E-05	3.59432E-05	0.001361432	0.000742312	0.000151616	0	0	0
Rhogostoma	0.038672518	0	0.014656447	0.004699804	0	0	0.000636359	0.002541471	2.48818E-05	0.002539987	0	0.009278897	0.049264664	0.043894774	0.009006623	0.009464358
Sardina	0	0	0	0.000311245	0	0.000915787	0	0	0	0	0	0	0	0	0	0
Scenedesmaceae	0.000617115	0	0.002605217	0	0	0	0	0	0	0	0.001247979	0.004241782	0.001364542	0.004156318	0.011318483	0.104194235
Spirotrichea	0.030547175	0.000957937	0.063432836	0.00195047	0.000847027	0.005338841	0.173057218	0.003709173	0.002911172	0.005163841	0.003914116	0.001193001	0.015841232	0.005651579	0.000626129	0.000201369
Sporidiobolales	3.42841E-05	0	0	0	0	1.94848E-05	0	0.000171721	0.000348345	0.00783562	0	0	0.000109791	0	0	0
Stauroneidaceae	0.00058283	0	0.000218502	0.000145248	0	0	0	0.001270735	0.090768848	0.00761996	0.013897949	0.035153765	5.22813E-06	0	0	0
Streptophyta	0.036169775	0.618426696	0.010320022	0.019141585	0.042317466	0.062780094	0.035377231	0.008963836	0.062254292	0.058479602	0.004793374	0.008271474	0.058926247	0.048710021	0.006839253	0.005063
Synchytrium	0	0	0	1.03748E-05	0	0	0	0	0	0.232864075	2.83632E-05	0	5.22813E-06	2.53434E-05	0	0
Tylocephalus	0	0	0	0	0	0	0	0.110107497	0	0	0	0	0.008631642	0	0	0
Ulvales	0.000205705	0	0.013076509	0	0.000575978	0	0	0.000274754	0	0	0.003091585	0.002306469	0.000219581	0.000354808	0.000337146	0.047120419
