X18S_seq_number	Kingdom	Phylum	Class	Order	Family	Genus	Species
merged_18S_184	Eukaryota	Nematoda	Enoplea	Dorylaimida	Tylencholaimidae	Tylencholaimus	
merged_18S_186	Eukaryota	Arthropoda	Arachnida	Opiliones	Opiliones	Opiliones	
merged_18S_187	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_188	Eukaryota	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes	Cystobasidiomycetes	Cystobasidiomycetes	
merged_18S_198	Eukaryota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	
merged_18S_202	Eukaryota	Chlorophyta	Chlorophyceae	Chlorosarcinales	Chlorosarcinales	Chlorosarcinales	
merged_18S_206	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_208	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_210	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Myrmecia	
merged_18S_212	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_213	Eukaryota	Arthropoda	Arachnida	Trombidiformes	Demodicidae	Demodex	
merged_18S_214	Eukaryota	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	
merged_18S_233	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Actinochloridaceae	Actinochloris	
merged_18S_235	Eukaryota	Ciliophora	Colpodea	Colpodida	Colpodidae	Exocolpoda	
merged_18S_236	Eukaryota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	
merged_18S_238	Eukaryota	Ciliophora	Colpodea	Colpodida	Colpodidae	Colpoda	
merged_18S_239	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_240	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_244	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Bacillariaceae	
merged_18S_246	Eukaryota	Ciliophora	Spirotrichea	Sporadotrichida	Gonostomatidae	Gonostomum	
merged_18S_249	Eukaryota	Ciliophora	Phyllopharyngea	Chlamydodontida	Chilodonellidae	Phascolodon	
merged_18S_250	Eukaryota	Mucoromycota	Mucoromycota	Mucoromycota	Mucoromycota	Mucoromycota	
merged_18S_258	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	
merged_18S_259	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	
merged_18S_270	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_274	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_284	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_292	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculales	Naviculales	
merged_18S_295	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_298	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_299	Eukaryota	Ciliophora	Oligohymenophorea	Sessilida	Vorticellidae	Vorticellidae	
merged_18S_300	Eukaryota	Ciliophora	Spirotrichea	Stichotrichida	Amphisiellidae	Hemiamphisiella	
merged_18S_302	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales	Chaetothyriales	
merged_18S_303	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_309	Eukaryota	Ciliophora	Colpodea	Grossglockneriida	Grossglockneriidae	Pseudoplatyophrya	
merged_18S_318	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Acrocalymma	
merged_18S_324	Eukaryota	Nematoda	Enoplea	Dorylaimida	Nordiidae	Pungentus	
merged_18S_326	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Polyporales	Polyporales	
merged_18S_328	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	Eleutherascus	
merged_18S_329	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	
merged_18S_330	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_334	Eukaryota	Ascomycota	Dothideomycetes	Muyocopronales	Muyocopronales	Muyocopronales	
merged_18S_345	Eukaryota	Ciliophora	Spirotrichea	Sporadotrichida	Oxytrichidae	Pseudonotohymena	
merged_18S_347	Eukaryota	Chlorophyta	Chlorophyceae	Sphaeropleales	Bracteacoccaceae	Bracteacoccus	
merged_18S_355	Eukaryota	Ascomycota	Lecanoromycetes	Lecanoromycetes	Lecanoromycetes	Lecanoromycetes	
merged_18S_359	Eukaryota	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	
merged_18S_360	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	
merged_18S_366	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_367	Eukaryota	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Blastocladiaceae	
merged_18S_369	Eukaryota	Ciliophora	Colpodea	Colpodida	Colpodida	Colpodida	
merged_18S_376	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_379	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_380	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_381	Eukaryota	Rotifera	Bdelloidea	Bdelloidea	Bdelloidea	Bdelloidea	
merged_18S_386	Eukaryota	Ciliophora	Spirotrichea	Sporadotrichida	Halteriidae	Halteria	
merged_18S_387	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_391	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmonidae	
merged_18S_398	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_400	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	
merged_18S_403	Eukaryota	Ciliophora	Colpodea	Colpodea	Colpodea	Colpodea	
merged_18S_408	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	
merged_18S_409	Eukaryota	Chlorophyta	Chlorophyceae	Chlorosarcinales	Chlorosarcinales	Chlorosarcinales	
merged_18S_430	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales	Chlamydomonadales	
merged_18S_432	Eukaryota	Ciliophora	Litostomatea	Haptorida	Haptorida	Haptorida	
merged_18S_435	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales	Chlamydomonadales	
merged_18S_440	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_441	Eukaryota	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Ochroconis	
merged_18S_442	Eukaryota	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales	Capnodiales	
merged_18S_446	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_452	Eukaryota	Annelida	Clitellata	Enchytraeida	Enchytraeidae	Enchytraeus	
merged_18S_453	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_454	Eukaryota	Ciliophora	Phyllopharyngea	Chlamydodontida	Chilodonellidae	Chilodonella	
merged_18S_458	Eukaryota	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Olpidium	
merged_18S_460	Eukaryota	Bacillariophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora	
merged_18S_461	Eukaryota	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	Thelebolus	
merged_18S_470	Eukaryota	Arthropoda	Collembola	Entomobryomorpha	Entomobryidae	Entomobryidae	
merged_18S_484	Eukaryota	Ciliophora	Spirotrichea	Urostylida	Urostylidae	Urostylidae	
merged_18S_486	Eukaryota	Ciliophora	Spirotrichea	Spirotrichea	Spirotrichea	Spirotrichea	
merged_18S_488	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_490	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Auxenochlorella	
merged_18S_503	Eukaryota	Nematoda	Enoplea	Dorylaimida	Dorylaimida	Dorylaimida	
merged_18S_508	Eukaryota	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta	
merged_18S_522	Eukaryota	Chlorophyta	Chlorophyta	Chlorophyta	Chlorophyta	Chlorophyta	
merged_18S_532	Eukaryota	Mollusca	Polyplacophora	Chitonida	Cryptoplacidae	Cryptoplax	
merged_18S_541	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlorococcaceae	Chlorococcum	
merged_18S_544	Eukaryota	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Verruconis	
merged_18S_547	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariophyceae	Fragilariophyceae	Fragilariophyceae	
merged_18S_548	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_559	Eukaryota	Apicomplexa	Conoidasida	Eugregarinorida	Eugregarinorida	Eugregarinorida	
merged_18S_571	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae	
merged_18S_579	Eukaryota	Chlorophyta	Ulvophyceae	Ulvales	Ulvales	Ulvales	
merged_18S_591	Eukaryota	Chlorophyta	Chlorophyceae	Sphaeropleales	Pseudomuriellaceae	Pseudomuriella	
merged_18S_608	Eukaryota	Chytridiomycota	Chytridiomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis	
merged_18S_615	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	
merged_18S_620	Eukaryota	Arthropoda	Insecta	Coleoptera	Carabidae	Carabidae	
merged_18S_624	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricaceae	
merged_18S_625	Eukaryota	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	
merged_18S_633	Eukaryota	Chlorophyta	Chlorophyceae	Chlorophyceae	Chlorophyceae	Chlorophyceae	
merged_18S_651	Eukaryota	Nematoda	Chromadorea	Monhysterida	Monhysteridae	Tridentulus	
merged_18S_655	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_659	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_661	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Mycoclelandia	
merged_18S_663	Eukaryota	Ciliophora	Spirotrichea	Urostylida	Pseudourostylidae	Pseudourostyla	
merged_18S_664	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Eurotiales	Eurotiales	
merged_18S_665	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_670	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_678	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Helotiales	Helotiales	
merged_18S_697	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_717	Eukaryota	Ciliophora	Nassophorea	Nassulida	Nassulidae	Nassulidae	
merged_18S_719	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_721	Eukaryota	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Lecanora	
merged_18S_726	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Parietochloris	
merged_18S_732	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Ascosphaeraceae	Ascosphaera	
merged_18S_734	Eukaryota	Ciliophora	Spirotrichea	Sporadotrichida	Sporadotrichida	Sporadotrichida	
merged_18S_735	Eukaryota	Zoopagomycota	Zoopagomycetes	Zoopagales	Zoopagaceae	Acaulopage	
merged_18S_746	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_748	Eukaryota	Nematoda	Chromadorea	Rhabditida	Cephalobidae	Cephalobidae	
merged_18S_761	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlorococcaceae	Fasciculochloris	
merged_18S_763	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	
merged_18S_764	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	
merged_18S_767	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_771	Eukaryota	Arthropoda	Insecta	Coleoptera	Coleoptera	Coleoptera	
merged_18S_780	Eukaryota	Chytridiomycota	Chytridiomycetes	Chytridiomycetes	Chytridiomycetes	Chytridiomycetes	
merged_18S_782	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_788	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_792	Eukaryota	Nematoda	Chromadorea	Rhabditida	Aphelenchidae	Aphelenchus	
merged_18S_796	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_824	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonadaceae	
merged_18S_832	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Kamienskia	
merged_18S_834	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_850	Eukaryota	Nematoda	Chromadorea	Chromadorea	Chromadorea	Chromadorea	
merged_18S_853	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Tremellales	Tremellales	
merged_18S_859	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_867	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Marcelleina	
merged_18S_874	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	
merged_18S_877	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_879	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidiaceae	
merged_18S_893	Eukaryota	Nematoda	Enoplea	Dorylaimida	Dorylaimidae	Mesodorylaimus	
merged_18S_901	Eukaryota	Zoopagomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	
merged_18S_907	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_911	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Chlorella	
merged_18S_915	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_918	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_921	Eukaryota	Ciliophora	Phyllopharyngea	Chlamydodontida	Chilodonellidae	Pseudochilodonopsis	
merged_18S_928	Eukaryota	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Teratosphaeriaceae	
merged_18S_934	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_946	Eukaryota	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeriaceae	
merged_18S_953	Eukaryota	Ciliophora	Colpodea	Colpodida	Colpodidae	Bresslaua	
merged_18S_954	Eukaryota	Ciliophora	Litostomatea	Haptorida	Acropisthiidae	Fuscheria	
merged_18S_955	Eukaryota	Ciliophora	Colpodea	Cyrtolophosidida	Platyophryidae	Platyophrya	
merged_18S_956	Eukaryota	Arthropoda	Arachnida	Sarcoptiformes	Tectocepheidae	Tectocepheus	
merged_18S_960	Eukaryota	Ciliophora	Colpodea	Bryophryida	Bryophryidae	Bryophryidae	
merged_18S_968	Eukaryota	Ascomycota	Leotiomycetes	Leotiomycetes	Leotiomycetes	Leotiomycetes	
merged_18S_970	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	
merged_18S_992	Eukaryota	Chlorophyta	Chlorophyceae	Tetrasporales	Tetrasporales	Tetrasporales	
merged_18S_998	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1007	Eukaryota	Ascomycota	Leotiomycetes	Leotiomycetes	Leotiomycetes	Leotiomycetes	
merged_18S_1008	Eukaryota	Rotifera	Monogononta	Ploima	Ploima	Ploima	
merged_18S_1010	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	
merged_18S_1011	Eukaryota	Basidiomycota	Agaricomycetes	Boletales	Boletales	Boletales	
merged_18S_1019	Eukaryota	Ciliophora	Ciliophora	Ciliophora	Ciliophora	Ciliophora	
merged_18S_1029	Eukaryota	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellales	Cymbellales	
merged_18S_1054	Eukaryota	Streptophyta	Bryopsida	Pottiales	Pottiaceae	Pottiaceae	
merged_18S_1055	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1064	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1082	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	
merged_18S_1083	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1091	Eukaryota	Nematoda	Chromadorea	Rhabditida	Aphelenchoididae	Aphelenchoides	
merged_18S_1101	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1107	Eukaryota	Chlorophyta	Chlorophyceae	Chlorophyceae	Chlorophyceae	Chlorophyceae	
merged_18S_1109	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1117	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	
merged_18S_1129	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1130	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1132	Eukaryota	Ciliophora	Colpodea	Colpodida	Colpodidae	Colpodidae	
merged_18S_1139	Eukaryota	Ciliophora	Spirotrichea	Urostylida	Urostylida	Urostylida	
merged_18S_1164	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_1166	Eukaryota	Ciliophora	Nassophorea	Nassulida	Nassulidae	Obertrumia	
merged_18S_1167	Eukaryota	Ciliophora	Litostomatea	Haptorida	Spathidiidae	Spathidium	
merged_18S_1170	Eukaryota	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophoraceae	Coccobotrys	
merged_18S_1174	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_1178	Eukaryota	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Rhizophydiales	Rhizophydiales	
merged_18S_1185	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Hormonema	
merged_18S_1205	Eukaryota	Ciliophora	Oligohymenophorea	Philasterida	Loxocephalidae	Loxocephalidae	
merged_18S_1206	Eukaryota	Chlorophyta	Chlorophyta	Chlorophyta	Chlorophyta	Chlorophyta	
merged_18S_1210	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Vanrija	
merged_18S_1214	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlorococcaceae	Hemiflagellochloris	
merged_18S_1227	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Bacillicladium	
merged_18S_1228	Eukaryota	Nematoda	Chromadorea	Rhabditida	Cephalobidae	Acrobeloides	
merged_18S_1232	Eukaryota	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta	
merged_18S_1241	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	
merged_18S_1248	Eukaryota	Ciliophora	Oligohymenophorea	Philasterida	Loxocephalidae	Paratetrahymena	
merged_18S_1249	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1260	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1261	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
merged_18S_1269	Eukaryota	Mucoromycota	Glomeromycetes	Paraglomerales	Pervetustaceae	Pervetustus	
merged_18S_1290	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1307	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomycetaceae	
merged_18S_1308	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1331	Eukaryota	Chlorophyta	Chlorophyceae	Chlorophyceae	Chlorophyceae	Chlorophyceae	
merged_18S_1335	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Nannochloris	
merged_18S_1355	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1357	Eukaryota	Arthropoda	Arachnida	Trombidiformes	Trombidiformes	Trombidiformes	
merged_18S_1362	Eukaryota	Ciliophora	Oligohymenophorea	Thigmotrichida	Ancistridae	Ancistrum	
merged_18S_1369	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1376	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Choanephoraceae	Choanephoraceae	
merged_18S_1377	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1386	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_1390	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	
merged_18S_1400	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	
merged_18S_1402	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_1403	Eukaryota	Arthropoda	Arachnida	Scorpiones	Bothriuridae	Brachistosternus	
merged_18S_1407	Eukaryota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	
merged_18S_1421	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1425	Eukaryota	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Kappamycetaceae	Kappamyces	
merged_18S_1438	Eukaryota	Ciliophora	Litostomatea	Haptorida	Trachelophyllidae	Trachelophyllidae	
merged_18S_1443	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	
merged_18S_1449	Eukaryota	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa	
merged_18S_1473	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1478	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	
merged_18S_1488	Eukaryota	Cnidaria	Anthozoa	Corallimorpharia	Corallimorpharia	Corallimorpharia	
merged_18S_1493	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1507	Eukaryota	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	
merged_18S_1526	Eukaryota	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	
merged_18S_1541	Eukaryota	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilaginaceae	
merged_18S_1543	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	
merged_18S_1544	Eukaryota	Ciliophora	Spirotrichea	Sporadotrichida	Oxytrichidae	Rigidohymena	
merged_18S_1546	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helotiaceae	
merged_18S_1547	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1550	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	
merged_18S_1555	Eukaryota	Cryptomycota	Cryptomycota	Cryptomycota	Cryptomycota	Cryptomycota	
merged_18S_1558	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1569	Eukaryota	Streptophyta	Streptophyta	Streptophyta	Streptophyta	Streptophyta	
merged_18S_1575	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1595	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	
merged_18S_1596	Eukaryota	Hemimastigophora	Hemimastigophora	Hemimastigophora	Hemimastigophora	Hemimastigophora	
merged_18S_1605	Eukaryota	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	
merged_18S_1606	Eukaryota	Ciliophora	Oligohymenophorea	Sessilida	Vorticellidae	Vorticella	
merged_18S_1608	Eukaryota	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Rhizoplaca	
merged_18S_1611	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Lycoperdaceae	
merged_18S_1635	Eukaryota	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	
merged_18S_1638	Eukaryota	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	
merged_18S_1677	Eukaryota	Chlorophyta	Chlorophyceae	Protosiphonales	Protosiphonaceae	Spongiochloris	
merged_18S_1685	Eukaryota	Nematoda	Enoplea	Dorylaimida	Qudsianematidae	Allodorylaimus	
merged_18S_1697	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Xylariales	Xylariales	
merged_18S_1698	Eukaryota	Nematoda	Enoplea	Dorylaimida	Qudsianematidae	Eudorylaimus	
merged_18S_1732	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_1739	Eukaryota	Ciliophora	Heterotrichea	Heterotrichida	Blepharismidae	Blepharisma	
merged_18S_1740	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	
merged_18S_1742	Eukaryota	Ciliophora	Colpodea	Sorogenida	Sorogenidae	Sorogena	
merged_18S_1763	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_1764	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
