ITS_seq_number	Kingdom	Phylum	Class	Order	Family	Genus	Species
forward_FUN_ITS_900	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Sordaria	Sordaria tomentoalba
forward_FUN_ITS_901	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocladiella	Cylindrocladiella peruviana
forward_FUN_ITS_903	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Monocillium	Monocillium sp. BGE-2018c
forward_FUN_ITS_909	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma cynaroidis
forward_FUN_ITS_913	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_926	Eukaryota	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Subulicystidium	Subulicystidium perlongisporum
forward_FUN_ITS_931	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus tubingensis
forward_FUN_ITS_932	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Monodictys	Monodictys castaneae
forward_FUN_ITS_933	Eukaryota	Arthropoda	Insecta	Orthoptera	Tettigoniidae	Preussia	Preussia sp. 1 PAM-2020
forward_FUN_ITS_934	Eukaryota	Arthropoda	Insecta	Orthoptera	Tettigoniidae	Preussia	Preussia sp. 1 PAM-2020
forward_FUN_ITS_935	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium spinulosum
forward_FUN_ITS_936	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum xylopini
forward_FUN_ITS_937	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophaeosphaeria	Setophaeosphaeria badalingensis
forward_FUN_ITS_938	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophaeosphaeria	Setophaeosphaeria badalingensis
forward_FUN_ITS_940	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_941	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_942	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_943	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_944	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_945	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_946	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_947	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_948	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_949	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_950	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_951	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_952	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_953	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia aemulans
forward_FUN_ITS_954	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia aemulans
forward_FUN_ITS_955	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia australis
forward_FUN_ITS_957	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia exigua
forward_FUN_ITS_958	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
forward_FUN_ITS_959	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_965	Eukaryota	Arthropoda	Insecta	Orthoptera	Tettigoniidae	Preussia	Preussia sp. 1 PAM-2020
forward_FUN_ITS_968	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	NA	Mycoarthris	Mycoarthris corallina
forward_FUN_ITS_969	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	Pestalotiopsis uvicola
forward_FUN_ITS_970	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Microcera	Microcera rubra
forward_FUN_ITS_973	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium pulvericola
forward_FUN_ITS_987	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium subspirale
forward_FUN_ITS_988	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
forward_FUN_ITS_989	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Microcera	Microcera coccophila
forward_FUN_ITS_992	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Microcera	Microcera rubra
forward_FUN_ITS_993	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Microcera	Microcera rubra
forward_FUN_ITS_994	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria	Nectria rubropeziza
forward_FUN_ITS_995	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Collarina	Collarina aurantiaca
forward_FUN_ITS_996	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium subspirale
forward_FUN_ITS_1000	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Podospora	Podospora vesticola
forward_FUN_ITS_1002	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani
forward_FUN_ITS_1003	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani
forward_FUN_ITS_1004	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani
forward_FUN_ITS_1005	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani
forward_FUN_ITS_1006	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani
forward_FUN_ITS_1007	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
forward_FUN_ITS_1008	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma virens
forward_FUN_ITS_1009	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma harzianum
forward_FUN_ITS_1010	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
forward_FUN_ITS_1011	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
forward_FUN_ITS_1012	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
forward_FUN_ITS_1013	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium equiseti
forward_FUN_ITS_1014	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium equiseti
forward_FUN_ITS_1015	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria macrodidyma
forward_FUN_ITS_1016	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria macrodidyma
forward_FUN_ITS_1017	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
forward_FUN_ITS_1018	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria ecuadoriensis
forward_FUN_ITS_1021	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria macrodidyma
forward_FUN_ITS_1024	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma cynaroidis
forward_FUN_ITS_1025	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma cynaroidis
forward_FUN_ITS_1029	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala equina
forward_FUN_ITS_1032	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia antarctica
forward_FUN_ITS_1037	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	NA	Tetracladium	Tetracladium sp.
forward_FUN_ITS_1038	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Massarina	Massarina rubi
forward_FUN_ITS_1039	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	Stagonosporopsis cucurbitacearum
forward_FUN_ITS_1040	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	Stagonosporopsis cucurbitacearum
forward_FUN_ITS_1041	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	Stagonosporopsis cucurbitacearum
forward_FUN_ITS_1042	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium sclerotiorum
forward_FUN_ITS_1048	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_1049	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia aemulans
forward_FUN_ITS_1050	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp.
forward_FUN_ITS_1051	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp.
forward_FUN_ITS_1052	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp.
forward_FUN_ITS_1053	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia exigua
forward_FUN_ITS_1055	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
forward_FUN_ITS_1057	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium equiseti
forward_FUN_ITS_1058	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Microcera	Microcera rubra
forward_FUN_ITS_1059	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium subspirale
forward_FUN_ITS_1060	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
forward_FUN_ITS_1061	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria macrodidyma
forward_FUN_ITS_1062	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria pauciseptata
forward_FUN_ITS_1063	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
forward_FUN_ITS_1065	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium sp.
forward_FUN_ITS_1066	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala sp.
forward_FUN_ITS_1071	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon	Cylindrocarpon didymum
forward_FUN_ITS_1072	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani
forward_FUN_ITS_1073	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani
forward_FUN_ITS_1074	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Sarocladiaceae	Acremonium	Acremonium sclerotigenum
forward_FUN_ITS_1075	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani
forward_FUN_ITS_1076	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani
forward_FUN_ITS_1077	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani
forward_FUN_ITS_1078	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani
forward_FUN_ITS_1079	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	NA	Stachybotriaceae sp.
forward_FUN_ITS_1081	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata
forward_FUN_ITS_1111	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Bonordeniella	[Coniosporium] sp. MA4666
forward_FUN_ITS_1112	Eukaryota	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora sp. 1 LR-2016
forward_FUN_ITS_1113	Eukaryota	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora sp. 1 LR-2016
forward_FUN_ITS_1121	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus niger
forward_FUN_ITS_1124	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium ramotenellum
forward_FUN_ITS_1125	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata
forward_FUN_ITS_1150	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Cladorrhinum	Cladorrhinum hyalocarpum
forward_FUN_ITS_1153	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosimulans	Ophiosimulans tanaceti
forward_FUN_ITS_1154	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	Neosetophoma lunariae
forward_FUN_ITS_1174	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia spicifera
forward_FUN_ITS_1175	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria atra
forward_FUN_ITS_1183	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Microcera	Microcera rubra
forward_FUN_ITS_1187	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium sp.
forward_FUN_ITS_1188	Eukaryota	Chlorophyta	Chlorophyceae	Sphaeropleales	Hydrodictyaceae	Pediastrum	Pediastrum duplex
forward_FUN_ITS_1191	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces coalescens
forward_FUN_ITS_1192	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus penicillioides
forward_FUN_ITS_1193	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus penicillioides
forward_FUN_ITS_1194	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus penicillioides
forward_FUN_ITS_1195	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus penicillioides
forward_FUN_ITS_1196	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus penicillioides
forward_FUN_ITS_1199	Eukaryota	Chlorophyta	Chlorophyceae	Sphaeropleales	Hydrodictyaceae	Pediastrum	Pediastrum duplex
merged_FUN_ITS_2	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
merged_FUN_ITS_3	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Subramaniula	Subramaniula cuniculorum
merged_FUN_ITS_4	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Subramaniula	Subramaniula cuniculorum
merged_FUN_ITS_5	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	NA	Monodictys	Monodictys castaneae
merged_FUN_ITS_8	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria macrodidyma
merged_FUN_ITS_9	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
merged_FUN_ITS_10	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	Stagonosporopsis sp.
merged_FUN_ITS_12	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia aemulans
merged_FUN_ITS_14	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	Sporormiaceae sp.
merged_FUN_ITS_15	Eukaryota	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Oxyporus	Oxyporus sp. MEL 2382667
merged_FUN_ITS_18	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium brachygibbosum
merged_FUN_ITS_21	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria atra
merged_FUN_ITS_23	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia sp. ADL2.6
merged_FUN_ITS_24	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fischeri
merged_FUN_ITS_29	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys rosea
merged_FUN_ITS_30	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium sp.
merged_FUN_ITS_31	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata
merged_FUN_ITS_35	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormia	Sporormia sp. BAB-4550
merged_FUN_ITS_36	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala equina
merged_FUN_ITS_37	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila minutissima
merged_FUN_ITS_38	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium nygamai
merged_FUN_ITS_39	Eukaryota	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta polymorpha
merged_FUN_ITS_42	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium sphaerospermum
merged_FUN_ITS_43	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	NA	Monosporascus	Monosporascus sp.
merged_FUN_ITS_44	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus terreus
merged_FUN_ITS_47	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium subspirale
merged_FUN_ITS_49	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani
merged_FUN_ITS_52	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium equiseti
merged_FUN_ITS_54	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia aemulans
merged_FUN_ITS_55	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Subramaniula	Subramaniula cuniculorum
merged_FUN_ITS_56	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Allophoma	Allophoma cylindrispora
merged_FUN_ITS_63	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neodidymelliopsis	Neodidymelliopsis ranunculi
merged_FUN_ITS_64	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Bonordeniella	[Coniosporium] sp. MA4666
merged_FUN_ITS_66	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus penicillioides
merged_FUN_ITS_67	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia gamsii
merged_FUN_ITS_68	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	Pestalotiopsis uvicola
merged_FUN_ITS_72	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium sp.
merged_FUN_ITS_73	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium ramotenellum
merged_FUN_ITS_74	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Neopestalotiopsis	Neopestalotiopsis sp.
merged_FUN_ITS_75	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria sp.
merged_FUN_ITS_77	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium pulvericola
merged_FUN_ITS_78	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium equiseti
merged_FUN_ITS_84	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium cladosporioides
merged_FUN_ITS_86	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pyrenochaetopsidaceae	Pyrenochaetopsis	Pyrenochaetopsis leptospora
merged_FUN_ITS_87	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia uzbekistanensis
merged_FUN_ITS_89	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium sp.
merged_FUN_ITS_91	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp.
merged_FUN_ITS_92	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotrys	Stachybotrys chartarum
merged_FUN_ITS_93	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	Phoma sp.
merged_FUN_ITS_95	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus penicillioides
merged_FUN_ITS_96	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia exigua
merged_FUN_ITS_99	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora sp.
merged_FUN_ITS_100	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophaeosphaeria	Setophaeosphaeria badalingensis
merged_FUN_ITS_101	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium spinulosum
merged_FUN_ITS_104	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Biatriosporaceae	Biatriospora	Biatriospora sp.
merged_FUN_ITS_105	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Trichocladium	Trichocladium asperum
merged_FUN_ITS_106	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani
merged_FUN_ITS_107	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Cladorrhinum	Cladorrhinum samala
merged_FUN_ITS_109	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scedosporium	Scedosporium dehoogii
merged_FUN_ITS_110	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia sp. (in: Fungi)
merged_FUN_ITS_111	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia aemulans
merged_FUN_ITS_113	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia aemulans
merged_FUN_ITS_116	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
merged_FUN_ITS_118	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Subramaniula	Subramaniula flavipila
merged_FUN_ITS_119	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella sp.
merged_FUN_ITS_120	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium pullulans
merged_FUN_ITS_121	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Massarina	Massarina sp. MA 4784
merged_FUN_ITS_123	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus amstelodami
merged_FUN_ITS_125	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
merged_FUN_ITS_126	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella	Psathyrella candolleana
merged_FUN_ITS_132	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria chlamydosporigena
merged_FUN_ITS_134	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia antarctica
merged_FUN_ITS_135	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma harzianum
merged_FUN_ITS_136	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria ecuadoriensis
merged_FUN_ITS_137	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella	Idriella lunata
merged_FUN_ITS_138	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala xenobiotica
merged_FUN_ITS_140	Eukaryota	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Ochroconis	Ochroconis sp.
