numsampled	0.03-FUN_ITS_1_10_S10_L001	lci-FUN_ITS_1_10_S10_L001	hci-FUN_ITS_1_10_S10_L001	0.03-FUN_ITS_1_15_S15_L001	lci-FUN_ITS_1_15_S15_L001	hci-FUN_ITS_1_15_S15_L001	0.03-FUN_ITS_1_1_S1_L001	lci-FUN_ITS_1_1_S1_L001	hci-FUN_ITS_1_1_S1_L001	0.03-FUN_ITS_1_20_S20_L001	lci-FUN_ITS_1_20_S20_L001	hci-FUN_ITS_1_20_S20_L001	0.03-FUN_ITS_1_23_S23_L001	lci-FUN_ITS_1_23_S23_L001	hci-FUN_ITS_1_23_S23_L001	0.03-FUN_ITS_1_25_S25_L001	lci-FUN_ITS_1_25_S25_L001	hci-FUN_ITS_1_25_S25_L001	0.03-FUN_ITS_1_28_S28_L001	lci-FUN_ITS_1_28_S28_L001	hci-FUN_ITS_1_28_S28_L001	0.03-FUN_ITS_1_30_S30_L001	lci-FUN_ITS_1_30_S30_L001	hci-FUN_ITS_1_30_S30_L001	0.03-FUN_ITS_1_31_S31_L001	lci-FUN_ITS_1_31_S31_L001	hci-FUN_ITS_1_31_S31_L001	0.03-FUN_ITS_1_33_S33_L001	lci-FUN_ITS_1_33_S33_L001	hci-FUN_ITS_1_33_S33_L001	0.03-FUN_ITS_1_35_S35_L001	lci-FUN_ITS_1_35_S35_L001	hci-FUN_ITS_1_35_S35_L001	0.03-FUN_ITS_1_3_S3_L001	lci-FUN_ITS_1_3_S3_L001	hci-FUN_ITS_1_3_S3_L001	0.03-FUN_ITS_1_40_S40_L001	lci-FUN_ITS_1_40_S40_L001	hci-FUN_ITS_1_40_S40_L001	0.03-FUN_ITS_1_47_S47_L001	lci-FUN_ITS_1_47_S47_L001	hci-FUN_ITS_1_47_S47_L001	0.03-FUN_ITS_1_51_S51_L001	lci-FUN_ITS_1_51_S51_L001	hci-FUN_ITS_1_51_S51_L001	0.03-FUN_ITS_1_56_S56_L001	lci-FUN_ITS_1_56_S56_L001	hci-FUN_ITS_1_56_S56_L001	0.03-FUN_ITS_1_57_S57_L001	lci-FUN_ITS_1_57_S57_L001	hci-FUN_ITS_1_57_S57_L001	0.03-FUN_ITS_1_58_S58_L001	lci-FUN_ITS_1_58_S58_L001	hci-FUN_ITS_1_58_S58_L001	0.03-FUN_ITS_1_59_S59_L001	lci-FUN_ITS_1_59_S59_L001	hci-FUN_ITS_1_59_S59_L001	0.03-FUN_ITS_1_5_S5_L001	lci-FUN_ITS_1_5_S5_L001	hci-FUN_ITS_1_5_S5_L001
327	16.668000	15.000000	17.000000	25.352000	24.000000	26.000000	24.312000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.900000	1.000000	2.000000	20.728000	19.000000	21.000000	25.212000	23.000000	26.000000	11.000000	11.000000	11.000000	13.684000	12.000000	14.000000	17.700000	16.000000	18.000000	16.692000	15.000000	17.000000	39.268000	38.000000	40.000000	40.128000	37.000000	42.000000	30.392000	28.000000	32.000000	32.068000	30.000000	33.000000	21.684000	20.000000	22.000000
328	16.676000	15.000000	17.000000	25.368000	24.000000	26.000000	24.328000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.904000	1.000000	2.000000	20.740000	19.000000	21.000000	25.236000	24.000000	26.000000	11.000000	11.000000	11.000000	13.692000	12.000000	14.000000	17.708000	16.000000	18.000000	16.704000	15.000000	17.000000	39.292000	38.000000	40.000000	40.180000	37.000000	42.000000	30.436000	28.000000	32.000000	32.100000	30.000000	33.000000	21.692000	20.000000	22.000000
329	16.692000	15.000000	17.000000	25.392000	24.000000	26.000000	24.364000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.912000	1.000000	2.000000	20.760000	20.000000	21.000000	25.272000	24.000000	26.000000	11.000000	11.000000	11.000000	13.708000	13.000000	14.000000	17.724000	17.000000	18.000000	16.720000	16.000000	17.000000	39.332000	38.000000	40.000000	40.240000	38.000000	42.000000	30.488000	28.000000	32.000000	32.144000	30.000000	33.000000	21.708000	21.000000	22.000000
330	16.696000	16.000000	17.000000	25.400000	24.000000	26.000000	24.368000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.912000	1.000000	2.000000	20.764000	20.000000	21.000000	25.276000	24.000000	26.000000	11.000000	11.000000	11.000000	13.712000	13.000000	14.000000	17.728000	17.000000	18.000000	16.724000	16.000000	17.000000	39.340000	38.000000	40.000000	40.260000	38.000000	42.000000	30.504000	28.000000	32.000000	32.148000	30.000000	33.000000	21.712000	21.000000	22.000000
331	16.696000	16.000000	17.000000	25.416000	24.000000	26.000000	24.384000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.912000	1.000000	2.000000	20.776000	20.000000	21.000000	25.296000	24.000000	26.000000	11.000000	11.000000	11.000000	13.712000	13.000000	14.000000	17.728000	17.000000	18.000000	16.728000	16.000000	17.000000	39.364000	38.000000	40.000000	40.324000	38.000000	42.000000	30.564000	28.000000	32.000000	32.180000	30.000000	33.000000	21.712000	21.000000	22.000000
332	16.704000	16.000000	17.000000	25.448000	24.000000	26.000000	24.412000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.916000	1.000000	2.000000	20.792000	20.000000	21.000000	25.324000	24.000000	26.000000	11.000000	11.000000	11.000000	13.720000	13.000000	14.000000	17.736000	17.000000	18.000000	16.736000	16.000000	17.000000	39.396000	38.000000	40.000000	40.376000	38.000000	42.000000	30.616000	28.000000	32.000000	32.212000	30.000000	33.000000	21.720000	21.000000	22.000000
333	16.712000	16.000000	17.000000	25.464000	24.000000	26.000000	24.428000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.920000	1.000000	2.000000	20.800000	20.000000	21.000000	25.348000	24.000000	26.000000	11.000000	11.000000	11.000000	13.728000	13.000000	14.000000	17.744000	17.000000	18.000000	16.744000	16.000000	17.000000	39.412000	38.000000	40.000000	40.424000	38.000000	42.000000	30.656000	28.000000	32.000000	32.232000	30.000000	33.000000	21.728000	21.000000	22.000000
334	16.720000	16.000000	17.000000	25.476000	24.000000	26.000000	24.440000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.920000	1.000000	2.000000	20.808000	20.000000	21.000000	25.368000	24.000000	26.000000	11.000000	11.000000	11.000000	13.736000	13.000000	14.000000	17.748000	17.000000	18.000000	16.748000	16.000000	17.000000	39.428000	38.000000	40.000000	40.492000	38.000000	42.000000	30.704000	28.000000	32.000000	32.256000	31.000000	33.000000	21.736000	21.000000	22.000000
335	16.744000	16.000000	17.000000	25.508000	24.000000	26.000000	24.476000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.932000	1.000000	2.000000	20.824000	20.000000	21.000000	25.400000	24.000000	26.000000	11.000000	11.000000	11.000000	13.756000	13.000000	14.000000	17.768000	17.000000	18.000000	16.768000	16.000000	17.000000	39.464000	38.000000	40.000000	40.564000	38.000000	42.000000	30.764000	28.000000	32.000000	32.296000	31.000000	33.000000	21.756000	21.000000	22.000000
336	16.752000	16.000000	17.000000	25.536000	24.000000	26.000000	24.496000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.936000	1.000000	2.000000	20.832000	20.000000	21.000000	25.420000	24.000000	26.000000	11.000000	11.000000	11.000000	13.764000	13.000000	14.000000	17.776000	17.000000	18.000000	16.776000	16.000000	17.000000	39.484000	38.000000	40.000000	40.608000	38.000000	42.000000	30.808000	28.000000	32.000000	32.320000	31.000000	33.000000	21.764000	21.000000	22.000000
