depth	0.15-1.5	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	3.05-4.60	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	3.05-4.60	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	6	0.15-1.5	0.15-1.5	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	0.15-1.5	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	3.05-4.60	3.05-4.60	6
Altererythrobacter	0.001257812	0.006185178	0.000117971	0	0	0	0.001885019	0	0	0	0	0	0.001553845	0	0	7.78203E-05	0	0.002640287	0	0	0.020401496	0	0	0.006806912	0	0.013490546	0.002250855	0	0.002112966	0	0	0.000868574	0.001971893	0	0.002833614	9.19625E-06	0.002172081	0	0.000988905	0.001193655	0.000230486	0.005109549	0	0	0.001055409	0.007503029	0.001792084	0.004655647	0	0	0.007201433	0	0	0	0
Alteromonas	0.003111429	0.001627678	0.002600075	0	0.004584757	0.005574639	0.001721105	0.000447266	0.002769013	0.004184624	0.003638764	0	0.001832082	0.007160104	0.011051829	0.023433624	0.003718603	0.005925978	0.003369649	0.008574808	0.001623452	0.016206596	0.002368078	0.003562592	0.003581492	0	0.001848803	0.006160657	0.008179051	0.008494653	0.010108003	0.00682352	0.003274086	0.003761343	0.008402452	0.004423395	0.001372755	0	0.003646412	0	0.007300333	0.004882611	0	0	0.018153034	0.001734645	0.007159761	0.003856192	0	0	0	0.001289151	0.008828944	0.001302997	0.005519748
Anaerolineaceae	0.000834128	0.002356878	0.019795486	0.000409492	0.030808008	0.02239885	0.003250975	0.006160727	0.021215408	0.015182675	0.027405883	0	0.003629919	0.063394231	0.024089377	0.007538837	0.031389566	0.0009153	0.029885453	0.019789643	0.018708039	0.007699395	0.033735611	0.005923964	0.022701076	0	0.006201722	0.004693834	0.000930775	0.002639773	0.016754652	0.018990508	0.013536047	0.036908176	0.001751331	0.015964686	0.00575167	0	0.02425463	0.003359462	0.027270103	0.002984582	7.08234E-05	0	0.00036353	0.003744631	0.00127761	0.019351501	0	0.002990409	0.001503821	0.023477077	0.053165595	0.032419008	0.026797304
Anaerolineae	0.002277301	1.95321E-05	0.001845062	0	0.004645961	0.010489014	0.000234944	0.003520416	0.004453428	0.002360557	0.001535344	0	0.001463953	0.014028298	0.002968549	0.002003872	0.004922239	0.001431622	0.00403712	0.005977021	4.00029E-05	0.007951835	0.010181468	0.003172452	0.003531177	0	0.001329619	0.002453595	0.006927319	0.004670367	0.010175956	0.005148908	0.009551673	0.009959722	0.000885504	1.83925E-05	0.001372755	0	0.00432611	0	0.001625531	0.00118283	9.33581E-05	0	0.000246262	4.58901E-06	0.001732062	0.007453737	0.002885813	0	0.000399653	0.022242397	0.028371269	0.003786487	0.006422774
Archaea	1.32401E-05	0	0.00857883	0	0.03618842	0.006577573	0	0.00292887	0.013450667	0.008887856	0.0040226	0	0	0.009186784	0.011904284	0.024717658	0.014107884	0	0.010033589	0.009947622	0.00677383	0	0.02357947	0	0.008658702	0	0.001044701	0	0	0.001701831	0.003569654	0.014050058	0.001833218	0.001496701	0	0.008037521	0	0	0.007008688	0.003248711	0.00497364	0	0.017915089	0	0	0.002927787	0.000574496	0.003926732	0.010513459	0	0	0.032228779	0.017640439	0.038187832	0.014753192
Ardenticatena	1.32401E-05	0	0	0	0	3.34311E-05	0	0.036921079	0	0	1.53534E-05	0	4.28057E-06	0.003824004	0.001133264	0.002879349	0	0	0.003617259	0.002259863	0	0.002625368	0	0	0.004070916	0	0	2.66695E-05	0	0	0.001989748	0	0.001305576	0.000705252	0	0	0	0.00641994	0.000626771	0	0.001419307	0.000158169	0.004078781	0	1.17268E-05	0	0	0.000940535	0	0	0	0	0.001247568	2.22735E-05	1.12878E-05
Arthrobacter	0.010287575	0.006959953	0.000358631	2.15522E-05	0.000244817	0.00015044	0.011960311	0.000663685	0.000624466	0.000339777	0.000414543	0.005847393	0.003595675	0	0.000952744	0.005457145	0.000430775	0.007181581	0.000549048	0.000823688	0.00445366	0.001035001	0.000278597	0.023346783	0.001106923	0.00364705	0.026962771	2.66695E-05	0.022723747	0.001155505	4.24706E-06	6.94859E-06	0.002056451	0	0.007969539	2.75887E-05	0.003718603	0.005022659	0.000554344	7.38343E-05	0.000262026	0.037664874	0.006879523	0.008904031	0.00318968	0.002427585	0.009697832	0	0.004550244	0.005178513	0.018868215	0.000472084	0	0.00057911	0.000372498
Bacillales	0.00104597	0.000598986	0.001712935	2.15522E-05	0.000817912	0.001738418	0.000202161	0.002568172	0.001043515	1.7883E-05	0.002226248	0.019810838	9.41724E-05	0.0003211	0.000621791	0.005029134	0.001691426	0.000375508	9.68909E-05	0.000802568	0.005223716	0.003433173	0.002558031	0.000462008	0.00104746	3.54083E-05	0.00039572	0	6.41914E-05	0.001082984	0.003223519	0.001007546	0.002601005	0.001363487	0	3.6785E-05	0.000616871	5.66465E-05	0.001390038	4.92229E-05	0.001191247	0.000488261	0.011177213	1.43152E-05	0	1.3767E-05	0	4.70267E-05	3.5923E-05	0.006928996	1.02475E-05	0.000853382	0.000462385	0.000924348	0.0012981
Bacillus	0.0065009	0.008385799	0.007691691	0.002974202	0.009603508	0.011283003	0.0018577	0.002712451	0.006959508	0.010318496	0.00343917	0.032368354	0.005962828	0.002623008	0.00664915	0.011624401	0.017351367	0.006876481	0.002120834	0.011320436	0.014557734	0.008343115	0.006850963	0.007710393	0.005264747	0.021669853	0.02391731	0.005093877	0.023087498	0.009645323	0.022405365	0.029670498	0.012497675	0.024346858	0.01285949	0.018512047	0.003675161	0.037311178	0.027870401	0.047303201	0.006046005	0.011759528	0.046981637	0.083929798	0.001418939	0.012243474	0.003927151	0.01123939	0.017494492	0.035137304	0.024035518	0.009459828	0.015564067	0.006069515	0.013218047
Bacteria	0.085809236	0.021153308	0.089218892	0.016573633	0.100124634	0.105316384	0.037481833	0.12477276	0.137555052	0.140471038	0.156451514	0.033966002	0.025888859	0.117847715	0.156560895	0.096069104	0.117443223	0.049121078	0.146143743	0.132128073	0.099650641	0.151021748	0.097585067	0.045831152	0.145235656	0.004248991	0.055049386	0.079608492	0.037461017	0.09565066	0.162995791	0.114888058	0.144533324	0.117189337	0.032635753	0.073340077	0.028115416	0.019882931	0.157921127	0.027490986	0.1422558	0.028724882	0.047612609	7.15758E-05	0.034980944	0.076205074	0.024831939	0.157116321	0.123072133	0.027424237	0.006658315	0.09005901	0.077305602	0.114184847	0.086577643
